Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    03,  09,     14.380,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160309_f17_nrt_n.bin
2016,    03,  10,     14.333,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160310_f17_nrt_n.bin
2016,    03,  11,     14.369,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160311_f17_nrt_n.bin
2016,    03,  12,     14.387,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160312_f17_nrt_n.bin
2016,    03,  13,     14.422,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160313_f17_nrt_n.bin
2016,    03,  14,     14.323,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160314_f17_nrt_n.bin
2016,    03,  15,     14.507,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160315_f17_nrt_n.bin
2016,    03,  16,     14.486,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160316_f17_nrt_n.bin
2016,    03,  17,     14.443,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160317_f17_nrt_n.bin
2016,    03,  18,     14.491,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160318_f17_nrt_n.bin
2016,    03,  19,     14.482,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160319_f17_nrt_n.bin
2016,    03,  20,     14.444,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160320_f17_nrt_n.bin
2016,    03,  21,     14.576,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160321_f17_nrt_n.bin
2016,    03,  22,     14.550,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160322_f17_nrt_n.bin
2016,    03,  23,     14.530,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160323_f17_nrt_n.bin
2016,    03,  24,     14.513,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160324_f17_nrt_n.bin
2016,    03,  25,     14.438,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160325_f17_nrt_n.bin
2016,    03,  26,     14.381,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160326_f17_nrt_n.bin
2016,    03,  27,     14.369,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160327_f17_nrt_n.bin
2016,    03,  28,     14.364,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160328_f17_nrt_n.bin
